ProductName,Price,Image,OS,Processor,Graphics,Display,Memory ,Storage
HP OmniBook X 14 inch Laptop AI PC - 14-fe0000ca,"$1,629.99",https://www.hp.com/ca-en/shop/Html/Merch/Images/A2PJ5UA-ABL_2_390x286.jpg,Windows 11 Home , Snapdragon® X Elite X1E-78-100 , Qualcomm® Adreno™ GPU , 14 2.2K Touch screen , 16 GB RAM , 512 GB SSD 
HP OmniBook Ultra Laptop 14-fd0020ca,"$1,799.99",https://www.hp.com/ca-en/shop/Html/Merch/Images/c09014174_390x286.jpg,Windows 11 Home , AMD Ryzen™ AI 9 365 , AMD Radeon™ Graphics , 14 2.2K Touch screen , 16 GB RAM , 512 GB SSD 
HP Pro x360 435 13.3 inch G10 Notebook PC Wolf Pro Security Edition,"$1,739.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08464129_390x286.jpg,Windows 11 Pro , AMD Ryzen™ 7 7730U , AMD Radeon™ Graphics , 13.3 FHD touch screen , 16 GB RAM , 512 GB SSD 
HP ProBook 460 16 inch G11 Notebook PC,"$1,549.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08956045_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 5 125U , Intel® Graphics , 16 WUXGA Touch screen , 16 GB RAM , 512 GB SSD 
HP EliteBook 640 14 inch G11 Notebook PC,"$1,749.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08985274_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 165U , Intel® Graphics , 14 WUXGA , 16 GB RAM , 512 GB SSD 
HP EliteBook 660 16 inch G11 Notebook PC,"$1,979.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08983970_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 5 125U , Intel® Graphics , 16 WUXGA Touch screen , 16 GB RAM , 512 GB SSD 
HP 15-fc0044ca Laptop with 12 months Microsoft 365 Personal,$699.99,https://www.hp.com/ca-en/shop/Html/Merch/Images/85U42UA-ABL_1_390x286.jpg,Windows 11 Home , AMD Ryzen™ 3 7320U , AMD Radeon™ Graphics , 15.6 FHD , 8 GB RAM , 512 GB SSD 
HP Laptop 15-fc0110ca,$829.99,https://www.hp.com/ca-en/shop/Html/Merch/Images/c08646412_390x286.jpg,Windows 11 Home , AMD Ryzen™ 5 7520U , AMD Radeon™ Graphics , 15.6 FHD , 16 GB RAM , 512 GB SSD 
HP EliteBook 640 14 inch G11 Notebook PC,"$1,899.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08985274_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 5 135U , Intel® Graphics , 14 WUXGA , 16 GB RAM , 256 GB SSD 
HP EliteBook 640 14 inch G11 Notebook PC,"$1,899.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08985274_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 5 125U , Intel® Graphics , 14 WUXGA Touch screen , 16 GB RAM , 512 GB SSD 
HP ProBook 445 14 inch G11 Notebook PC,"$1,129.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08975466_390x286.jpg,Windows 11 Pro , AMD Ryzen™ 5 7535U , AMD Radeon™ 660M Graphics , 14 WUXGA , 8 GB RAM , 256 GB SSD 
HP EliteBook 845 14 inch G11 Notebook PC,"$2,129.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08982030_390x286.jpg,Windows 11 Pro , AMD Ryzen™ 5 8540U , AMD Radeon™ Graphics , 14 WUXGA , 16 GB RAM , 512 GB SSD 
HP EliteBook 1040 14 inch G11 Notebook PC,"$3,299.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08955160_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 165H , Intel® Arc™ Graphics , 14 WUXGA Touch screen , 32 GB RAM , 512 GB SSD 
HP Chromebook x360 14b-cd0030ca,$759.99,https://www.hp.com/ca-en/shop/Html/Merch/Images/c08945571_390x286.jpg,ChromeOS , Intel® Core™ i3 N305 , Intel® UHD Graphics , 14 FHD touch screen , 8 GB RAM , 256 GB UFS 
HP Chromebook 14a-nf0030ca,$559.99,https://www.hp.com/ca-en/shop/Html/Merch/Images/c08945031_390x286.jpg,ChromeOS , Intel® , Intel® UHD Graphics , 14 FHD , 8 GB RAM , 256 GB UFS 
HP EliteBook 645 14 inch G11 Notebook PC,"$1,679.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08979603_390x286.jpg,Windows 11 Pro , AMD Ryzen™ 5 PRO 7535U , AMD Radeon™ Graphics , 14 WUXGA , 16 GB RAM , 512 GB SSD 
HP EliteBook 860 16 inch G11 Notebook PC,"$2,399.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08959152_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 155U , Intel® Graphics , 16 WUXGA Touch screen , 16 GB RAM , 512 GB SSD 
HP EliteBook 840 14 inch G11 Notebook PC,"$2,249.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08959110_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 165U , Intel® Graphics , 14 WUXGA , 32 GB RAM , 512 GB SSD 
Victus Gaming Laptop 15-fb2010ca,"$1,329.99",https://www.hp.com/ca-en/shop/Html/Merch/Images/A32VJUA-ABL_390x286.jpg,Windows 11 Home , AMD Ryzen™ 5 8645HS , NVIDIA® GeForce RTX™ 3050 (6 GB) , 15.6 FHD , 16 GB RAM , 512 GB SSD 
HP OmniBook Ultra Laptop 14-fd0010ca,"$2,099.99",https://www.hp.com/ca-en/shop/Html/Merch/Images/c09014174_390x286.jpg,Windows 11 Home , AMD Ryzen™ AI 9 365 , AMD Radeon™ 880M Graphics , 14 2.2K Touch screen , 32 GB RAM , 1 TB SSD 
HP OmniBook Ultra Laptop 14-fd0010ca + HP 3 year Pickup and Return with Accidental Damage Protection for Consumer Notebooks,"$1,889.73",https://www.hp.com/ca-en/shop/Html/Merch/Images/c09014174_390x286.jpg,Windows 11 Home , AMD Ryzen™ AI 9 365 , AMD Radeon™ 880M Graphics , 14 2.2K Touch screen , 32 GB RAM , 1 TB SSD 
HP OmniBook Ultra Laptop 14-fd0020ca + HP 3 year Pickup and Return with Accidental Damage Protection for Consumer Notebooks,"$1,525.62",https://www.hp.com/ca-en/shop/Html/Merch/Images/c02266989_209x189.jpg,Windows 11 Home , AMD Ryzen™ AI 9 365 , AMD Radeon™ Graphics , 14 2.2K Touch screen , 16 GB RAM , 512 GB SSD 
HP ProBook 445 14 inch G11 Notebook PC,"$1,399.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c02266989_209x189.jpg,Windows 11 Pro , AMD Ryzen™ 7 7735U , AMD Radeon™ 680M Graphics , 14 WUXGA , 16 GB RAM , 512 GB SSD 
HP EliteBook 645 14 inch G11 Notebook PC,"$1,779.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c09038392_390x286.jpg,Windows 11 Pro , AMD Ryzen™ 7 PRO 7735U , AMD Radeon™ 680M Graphics , 14 WUXGA , 16 GB RAM , 512 GB SSD 
HP EliteBook 845 14 inch G11 Notebook PC,"$2,299.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c02266989_209x189.jpg,Windows 11 Pro , AMD Ryzen™ 7 8840U , AMD Radeon™ 780M Graphics , 14 WUXGA Touch screen , 16 GB RAM , 512 GB SSD 
HP EliteBook 1040 14 inch G11 Notebook PC Wolf Pro Security Edition,"$2,649.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c09038392_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 5 135U , Intel® Graphics , 14 WUXGA Touch screen , 16 GB RAM , 512 GB SSD 
HP ZBook Firefly 14 inch G11 Mobile Workstation PC,"$2,049.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c02266989_209x189.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 165U , Intel® Graphics , 14 WUXGA , 32 GB RAM , 1 TB SSD 
HP OmniBook X 14 inch Laptop AI PC - 14-fe0000ca + HP 3 year Pickup and Return with Accidental Damage Protection for Consumer Notebooks,"$1,483.26",https://www.hp.com/ca-en/shop/Html/Merch/Images/c02266989_209x189.jpg,Windows 11 Home , Snapdragon® X Elite X1E-78-100 , Qualcomm® Adreno™ GPU , 14 2.2K Touch screen , 16 GB RAM , 512 GB SSD 
HP ZBook Firefly 16 inch G11 Mobile Workstation PC,"$2,549.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c02266989_209x189.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 155U , Intel® Graphics , 16 WUXGA , 32 GB RAM , 512 GB SSD 
HP ZBook Firefly 16 inch G11 Mobile Workstation PC,"$2,549.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/7X7B6UA-ABL_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 155U , Intel® Graphics , 16 WUXGA , 32 GB RAM , 512 GB SSD 
HP ZBook Firefly 16 inch G11 Mobile Workstation PC,"$2,249.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08925062_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 155H , NVIDIA® RTX™ A500 (4 GB) , 16 WUXGA , 16 GB RAM , 512 GB SSD 
HP Elite x360 1040 14 inch G11 2-in-1 Notebook PC,"$3,099.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08925062_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 155H , Intel® Arc™ Graphics , 14 WUXGA Touch screen , 32 GB RAM , 512 GB SSD 
HP ZBook Firefly 14 inch G11 Mobile Workstation PC Wolf Pro Security Edition,"$2,849.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08925062_390x286.jpg,Windows 11 Pro ," Intel® Core™ Ultra 7 155H (up to 4.8 GHz with Intel® Turbo Boost Technology, 24 MB L3 cache, 16 cores, 22 threads) ", NVIDIA RTX™ A500 Laptop GPU (4 GB GDDR6 dedicated) , 14 diagonal WQXGA touch display , 16 GB memory , 512 GB SSD storage 
HP ZBook Firefly 14 inch G11 Mobile Workstation PC,"$2,949.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08955256_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 155U , Intel® Graphics , 14 WUXGA , 64 GB RAM , 1 TB SSD 
HP ZBook Firefly 16 inch G11 Mobile Workstation PC,"$3,249.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08924813_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 155H , NVIDIA® RTX™ A500 (4 GB) , 16 WUXGA , 32 GB RAM , 1 TB SSD 
HP ZBook Firefly 14 inch G11 Mobile Workstation PC,"$2,799.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08924813_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 155H , NVIDIA® RTX™ A500 (4 GB) , 14 WUXGA , 16 GB RAM , 512 GB SSD 
HP ZBook Firefly 16 inch G11 Mobile Workstation PC,"$1,899.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08925062_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 5 135U , Intel® Graphics , 16 WUXGA , 16 GB RAM , 512 GB SSD 
HP ZBook Power 16 inch G11 A Mobile Workstation PC,"$2,899.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08924813_390x286.jpg,Windows 11 Pro , AMD Ryzen™ 7 8840HS , NVIDIA® RTX™ A1000 (6 GB) , 16 WUXGA Touch screen , 16 GB RAM , 512 GB SSD 
HP ZBook Firefly 14 inch G11 Mobile Workstation PC Wolf Pro Security Edition,"$2,499.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08925062_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 165H , NVIDIA® RTX™ A500 (4 GB) , 14 WUXGA Touch screen , 32 GB RAM , 512 GB SSD 
HP ZBook Firefly 14 inch G11 Mobile Workstation PC,"$2,449.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08956477_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 155H , Intel® Arc™ Graphics , 14 WUXGA , 16 GB RAM , 512 GB SSD 
HP ZBook Power 16 inch G11 Mobile Workstation PC,"$3,599.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08924813_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 155H , NVIDIA® RTX™ 1000 (6 GB) , 16 WQXGA Touch screen , 32 GB RAM , 1 TB SSD 
HP ZBook Power 16 inch G11 A Mobile Workstation PC,"$2,349.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08924813_390x286.jpg,Windows 11 Pro , AMD Ryzen™ 9 8945HS , AMD Radeon™ 780M Graphics , 16 WUXGA Touch screen , 32 GB RAM , 1 TB SSD 
HP ZBook Power 16 inch G11 Mobile Workstation PC,"$4,399.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08953048_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 9 185H , NVIDIA® RTX™ 2000 Ada (8 GB) , 16 diagonal WQXGA display , 32 GB RAM , 1 TB SSD 
HP ZBook Firefly 14 inch G11 Mobile Workstation PC Wolf Pro Security Edition,"$2,499.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08924813_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 155H , Intel® Arc™ Graphics , 14 WUXGA Touch screen , 16 GB RAM , 512 GB SSD 
HP ZBook Firefly 16 inch G11 Mobile Workstation PC,"$2,929.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c09048036_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 155H , NVIDIA® RTX™ A500 (4 GB) , 16 WUXGA , 16 GB RAM , 512 GB SSD 
HP EliteBook 860 16 inch G11 Notebook PC + HP 3y Premium Onsite Notebook,"$1,899.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08915948_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 5 125U , Intel® Graphics , 16 WUXGA , 16 GB RAM , 512 GB SSD 
HP ZBook Firefly 14 inch G11 Mobile Workstation PC + HP 3y Premium Onsite w/ADP Mobile Workstation,"$2,199.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/U85DSE_209x189.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 155H , Intel® Arc™ Graphics , 14 WUXGA , 16 GB RAM , 512 GB SSD 
HP EliteBook 640 14 inch G11 Notebook PC + HP 4 year Active Care Next Business Day Response Onsite Notebook Hardware Support,"$1,739.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08924813_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 5 125U , Intel® Graphics , 14 WUXGA Touch screen , 16 GB RAM , 512 GB SSD 
HP ProBook 465 16 inch G11 Notebook PC + HP 635 Multi-Device Wireless Mouse,$807.87,https://www.hp.com/ca-en/shop/Html/Merch/Images/U85S0E_209x189.jpg,Windows 11 Pro , AMD Ryzen™ 5 7535U , AMD Radeon™ 660M Graphics , 16 WUXGA , 8 GB RAM , 256 GB SSD 
HP EliteBook 1040 14 inch G11 Notebook PC Wolf Pro Security Edition + HP 4 year Active Care Next Business Day Response Onsite Notebook HW Supp,"$2,399.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08985274_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 5 135U , Intel® Graphics , 14 WUXGA Touch screen , 16 GB RAM , 512 GB SSD 
HP ZBook Firefly 14 inch G11 A Mobile Workstation PC,"$2,974.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c07018584_209x189.jpg,Windows 11 Pro , AMD Ryzen™ 9 8945HS , AMD Radeon™ 780M Graphics , 14 WUXGA , 64 GB RAM , 1 TB SSD 
HP ZBook Firefly 14 inch G11 A Mobile Workstation PC,"$2,474.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c02266989_209x189.jpg,Windows 11 Pro , AMD Ryzen™ 7 8840HS , AMD Radeon™ 780M Graphics , 14 WUXGA Touch screen , 32 GB RAM , 512 GB SSD 
HP ZBook Power 16 inch G11 A Mobile Workstation PC,"$1,899.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08744451_390x286.jpg,Windows 11 Pro , AMD Ryzen™ 7 8840HS , AMD Radeon™ 780M Graphics , 16 WUXGA , 16 GB RAM , 512 GB SSD 
HP ZBook Power 16 inch G11 A Mobile Workstation PC,"$2,699.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c02266989_209x189.jpg,Windows 11 Pro , AMD Ryzen™ 9 8945HS , NVIDIA® RTX™ A1000 (6 GB) , 16 WUXGA , 16 GB RAM , 512 GB SSD 
HP ZBook Power 16 inch G11 A Mobile Workstation PC,"$2,599.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/9B0L3UA-ABL_390x286.jpg,Windows 11 Pro , AMD Ryzen™ 9 8945HS , AMD Radeon™ 780M Graphics , 16 WUXGA , 32 GB RAM , 1 TB SSD 
HP EliteBook 860 16 inch G11 Notebook PC,"$2,349.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c02266989_209x189.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 155U , Intel® Graphics , 16 WUXGA Touch screen , 16 GB RAM , 512 GB SSD 
HP Laptop 15-dy5024ca with 12 months Microsoft 365 Personal and Wireless Mouse,$799.99,https://www.hp.com/ca-en/shop/Html/Merch/Images/c08965910_390x286.jpg,Windows 11 Home , Intel® Core™ i3 1215U , Intel® UHD Graphics , 15.6 FHD , 8 GB RAM , 512 GB SSD 
HP ProBook 460 16 inch G11 Notebook PC,"$1,639.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08956045_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 155U , Intel® Graphics , 16 WUXGA , 16 GB RAM , 512 GB SSD 
HP EliteBook 840 14 inch G11 Notebook PC,"$2,399.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08942766_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 155U , Intel® Graphics , 14 WUXGA , 16 GB RAM , 512 GB SSD 
HP 17-cn3004ca Laptop with 12 months Microsoft 365 Personal & Wireless Mouse,$999.99,https://www.hp.com/ca-en/shop/Html/Merch/Images/85U44UA-ABL_390x286.jpg,Windows 11 Home , Intel® Core™ i5-1335U , Intel® Iris® Xᵉ Graphics , 17.3 FHD , 16 GB RAM , 512 GB SSD 
HP Chromebook 14a-nf0020ca,$509.99,https://www.hp.com/ca-en/shop/Html/Merch/Images/c08945031_390x286.jpg,ChromeOS , Intel® N-series N100 , Intel® UHD Graphics , 14 FHD , 8 GB RAM , 128 GB UFS 
HP ProBook 460 16 inch G11 Notebook PC,"$1,449.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/A1LD7UT-ABA_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 5 125U , Intel® Graphics , 16 WUXGA , 16 GB RAM , 512 GB SSD 
HP ProBook 460 16 inch G11 Notebook PC,"$1,449.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08956045_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 5 125U , Intel® Graphics , 16 WUXGA , 16 GB RAM , 512 GB SSD 
HP ProBook 440 14 inch G11 Notebook PC,"$1,639.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08965225_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 155U , Intel® Graphics , 14 WUXGA , 16 GB RAM , 512 GB SSD 
HP ProBook 440 14 inch G11 Notebook PC,"$1,639.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08965225_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 155U , Intel® Graphics , 14 WUXGA , 16 GB RAM , 512 GB SSD 
HP EliteBook 840 14 inch G11 Notebook PC,"$2,399.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08959110_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 155U , Intel® Graphics , 14 WUXGA , 16 GB RAM , 512 GB SSD 
HP EliteBook 860 16 inch G11 Notebook PC,"$2,599.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08959152_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 155U , Intel® Graphics , 16 WUXGA , 32 GB RAM , 1 TB SSD 
HP ProBook 440 14 inch G11 Notebook PC,"$1,799.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08965225_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 155U , Intel® Graphics , 14 WUXGA , 32 GB RAM , 512 GB SSD 
HP EliteBook 860 16 inch G11 Notebook PC,"$2,629.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08959152_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 165U , Intel® Graphics , 16 WUXGA , 16 GB RAM , 512 GB SSD 
HP Envy x360 2-in-1 Laptop 16-ad0010ca,"$1,329.99",https://www.hp.com/ca-en/shop/Html/Merch/Images/A32PRUA-ABL_390x286.jpg,Windows 11 Home , AMD Ryzen™ 5 8640HS , AMD Radeon™ Graphics , 16 2K Touch screen , 16 GB RAM , 512 GB SSD 
HP Elite x360 1040 14 inch G11 2-in-1 Notebook PC,"$2,399.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08955195_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 155H , Intel® Arc™ Graphics , 14 WUXGA Touch screen , 32 GB RAM , 512 GB SSD 
HP 17-cp2030ca Laptop,$679.99,https://www.hp.com/ca-en/shop/Html/Merch/Images/c07963990_390x286.jpg,Windows 11 Home , AMD Ryzen™ 3 7320U , AMD Radeon™ Graphics , 17.3 FHD , 8 GB RAM , 512 GB SSD 
HP ProBook 440 14 inch G11 Notebook PC,"$1,899.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08965225_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 155U , Intel® Graphics , 14 WUXGA , 32 GB RAM , 1 TB SSD 
HP Pavilion Laptop 16-ag0010ca,"$1,329.99",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08960609_390x286.jpg,Windows 11 Home , AMD Ryzen™ 7 8840U , AMD Radeon™ Graphics , 16 2K , 16 GB RAM , 1 TB SSD 
HP ProBook 460 16 inch G11 Notebook PC,"$1,899.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08956045_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 155U , Intel® Graphics , 16 WUXGA , 32 GB RAM , 1 TB SSD 
HP ProBook 445 14 inch G11 Notebook PC,"$1,649.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08975466_390x286.jpg,Windows 11 Pro , AMD Ryzen™ 7 7735U , AMD Radeon™ 680M Graphics , 14 WUXGA , 32 GB RAM , 1 TB SSD 
HP EliteBook 840 14 inch G11 Notebook PC,"$2,249.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08959110_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 5 125U , Intel® Graphics , 14 WUXGA , 16 GB RAM , 512 GB SSD 
HP ProBook 440 14 inch G11 Notebook PC,"$1,679.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08965225_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 155U , Intel® Graphics , 14 WUXGA Touch screen , 16 GB RAM , 512 GB SSD 
HP 15-fc0034ca Laptop with 12 months Microsoft 365 Personal,$849.99,https://www.hp.com/ca-en/shop/Html/Merch/Images/c08540022_390x286.jpg,Windows 11 Home , AMD Ryzen™ 5 7520U , AMD Radeon™ Graphics , 15.6 FHD , 16 GB RAM , 512 GB SSD 
HP ProBook 440 14 inch G10 Notebook PC Wolf Pro Security Edition,"$1,739.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08473356_390x286.jpg,Windows 11 Pro , Intel® Core™ i7 1355U , Intel® UHD Graphics , 14 diagonal FHD touch display , 16 GB RAM , 512 GB SSD 
HP EliteBook 640 14 inch G11 Notebook PC,"$1,899.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08985274_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 5 125U , Intel® Graphics , 14 WUXGA Touch screen , 16 GB RAM , 512 GB SSD 
HP Pavilion Laptop 16-af0000ca,"$1,119.99",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08943409_390x286.jpg,Windows 11 Home , Intel® Core™ 5 12OU , Intel® Graphics , 16 2K , 16 GB RAM , 512 GB SSD 
HP Envy x360 2-in-1 Laptop 16-ac0010ca,"$1,429.99",https://www.hp.com/ca-en/shop/Html/Merch/Images/A32PQUA-ABL_2_390x286.jpg,Windows 11 Home , Intel® Core™ Ultra 5 125U , Intel® Graphics , 16 2K Touch screen , 16 GB RAM , 512 GB SSD 
HP Pavilion Laptop 16-ag0000ca,"$1,019.99",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08914918_390x286.jpg,Windows 11 Home , AMD Ryzen™ 5 8540U , AMD Radeon™ Graphics , 16 2K , 8 GB RAM , 512 GB SSD 
HP Pavilion x360 15-er1010ca Convertible Laptop - Core™ i5 with Pen,"$1,149.99",https://www.hp.com/ca-en/shop/Html/Merch/Images/2L7T6UA-ABL_1_390x286.jpg,Windows 11 Home , Intel® Core™ i5 1235U , Intel® Iris® Xᵉ Graphics , 15.6 FHD Touch screen , 8 GB RAM , 512 GB SSD 
HP ProBook 440 14 inch G11 Notebook PC + HP 3y Premium+ Onsite w/Telemetry/ADP Notebook,"$1,499.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08965225_390x286.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 155U , Intel® Graphics , 14 WUXGA , 32 GB RAM , 512 GB SSD 
HP ProBook 460 16 inch G11 Notebook PC,"$1,799.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/U85ZJE_209x189.jpg,Windows 11 Pro , Intel® Core™ Ultra 7 155U , Intel® Graphics , 16 WUXGA , 32 GB RAM , 512 GB SSD 
HP Laptop 17-cn4010ca,"$1,019.99",https://www.hp.com/ca-en/shop/Html/Merch/Images/7S3L6UA-ABL_390x286.jpg,Windows 11 Home , Intel® Core™ 5 120U , Intel® Graphics , 17.3 FHD , 16 GB RAM , 512 GB SSD 
HP Chromebook 15a-na0010ca,$519.99,https://www.hp.com/ca-en/shop/Html/Merch/Images/c08588195_390x286.jpg,ChromeOS , Intel® Celeron® N4500 , Intel® UHD Graphics , 15.6 FHD , 8 GB RAM , 128 GB eMMC 
HP ProBook 465 16 inch G11 Notebook PC,"$1,649.00",https://www.hp.com/ca-en/shop/Html/Merch/Images/6P759UA-ABL_1_390x286.jpg,Windows 11 Pro , AMD Ryzen™ 7 7735U , AMD Radeon™ 680M Graphics , 16 WUXGA , 32 GB RAM , 1 TB SSD 
Victus Gaming Laptop 15-fb2020ca,$999.99,https://www.hp.com/ca-en/shop/Html/Merch/Images/A32WRUA-ABL_3_390x286.jpg,Windows 11 Home , AMD Ryzen™ 5 8645HS , NVIDIA® GeForce RTX™ 2050 (4 GB) , 15.6 FHD , 16 GB RAM , 512 GB SSD 
HP Chromebook x360 14a-ca1000ca,$499.99,https://www.hp.com/ca-en/shop/Html/Merch/Images/c06919095_390x286.jpg,ChromeOS , Intel® Celeron® N4500 , Intel® UHD Graphics , 14 FHD touch screen , 4 GB RAM , 128 GB eMMC 
Victus Gaming Laptop 15-fa1010ca,"$1,219.99",https://www.hp.com/ca-en/shop/Html/Merch/Images/c08186006_390x286.jpg,Windows 11 Home , Intel® Core™ i5 13420H , NVIDIA® GeForce RTX™ 2050 (4 GB) , 15.6 FHD , 8 GB RAM , 512 GB SSD 
